director,director_score
Simon Wells,5
Andrew Sipes,0
Kelly Makin,0
Gary Fleder,5
Michael Moore,0
Christian Duguay,0
Álex de la Iglesia,0
Oliver Parker,5
Kevin James Dobson,1
James Mangold,5
Philip Haas,0
Peter Horton,1
J.F. Lawton,0
Michelangelo Antonioni,1
Gregory Nava,1
Edward Burns,1
Stacy Title,1
Tab Murphy,1
Christopher Monger,0
Tim Sullivan,1
Paul Auster,0
Christopher Ashley,1
Daisy von Scherler Mayer,1
Carlo Carlei,0
Desmond Nakano,0
Peter Hall,1
Maria Maggenti,1
John Fortenberry,1
Theodoros Angelopoulos,1
Benoît Jacquot,1
Rick Stevenson,1
David Frankel,5
Marleen Gorris,1
Clare Peploe,1
Preston A. Whitmore II,0
Gregory Hoblit,5
Wes Anderson,5
Lana Wachowski,5
Billy Bob Thornton,0
Tom Hanks,5
Bobby Farrelly,5
Jonathan Frakes,5
Doug Liman,5
Paris Barclay,1
Paul Thomas Anderson,5
Campbell Scott,1
Stuart Baird,5
Jason Bloom,0
Douglas McGrath,0
Nicolas Winding Refn,5
David Twohy,5
David Hogan,0
Steve Buscemi,0
Matthew Bright,0
Scott Hicks,5
Bronwen Hughes,1
Gilbert Adler,0
Rick Friedberg,1
Jerry Zaks,0
Arlene Sanford,0
Tim Pope,1
Julian Schnabel,1
Jean-Claude Van Damme,1
Lisa Krueger,0
Hettie Macdonald,1
Michael Winterbottom,0
Larry Bishop,0
Olivier Assayas,1
Annette Haywood-Carter,1
John Gray,0
David R. Ellis,5
John Payson,0
Eric Schaeffer,0
Greg Mottola,5
Alexander Payne,5
Susan Streitfeld,1
Martin Lawrence,1
Lynne Stopkewich,1
Dan Ireland,0
Michael Goldenberg,1
Matt Reeves,5
Farhad Mann,0
Reb Braddock,0
Steven Baigelman,1
Mary Harron,1
Larry Leker,1
Robert Harling,1
Jim Wilson,1
Bill Bennett,1
Dale Rosenbloom,1
Matthew Broderick,1
Alan Mehrez,1
Doug Ellin,1
Tom DeCerchio,1
Bill Couturié,0
Jay Roach,5
Simon West,5
Raja Gosnell,5
Andrew Niccol,5
Jim Gillespie,5
Jean-Pierre Jeunet,5
Vincenzo Natali,0
Brian Robbins,5
Satoshi Kon,1
Peter Cattaneo,5
Mark A.Z. Dippé,1
David Mirkin,5
Harmony Korine,1
Jonathan Mostow,5
Stephen Kessler,1
John R. Leonetti,5
Bob Spiers,1
Mimi Leder,5
Jill Sprecher,1
Lance Young,1
