writer,writer_score
Bob Kane,5
Chris Matheson,1
W.P. Kinsella,5
Tom Schulman,5
John Musker,5
Stuart Gordon,5
Dennis Shryack,1
Steven Soderbergh,1
Robert Harling,5
Randy Feldman,0
Ron Kovic,5
Kevin Jarre,5
Michael G. Wilson,5
Richard Smith,0
Earl Barret,1
Daniel Lang,0
John Bishop,0
Shane Connaughton,1
Warren Adler,5
Patricia Louisianna Knop,1
Terry Rossio,0
David Chisholm,1
'Weird Al' Yankovic,1
Amy Heckerling,5
Don Bluth,1
David Webb Peoples,5
Phillip Rhee,0
Mark DiSalle,1
Ava Ostern Fries,0
Alfred Uhry,5
James Fogle,1
Daniel Jay Franklin,1
Lewis Abernathy,1
Richard Price,1
Steven Siegel,5
William Shakespeare,5
Seth Winston,1
Rob Hedden,1
Robin Menken,1
Choderlos de Laclos,1
Michael Thomas,0
Michael Jenning,1
Fay Weldon,1
Blaze Starr,0
Michael Tolkin,0
Terry Jones,1
Larry Brothers,1
Robin Schiff,1
John Dahl,0
John Varley,1
Perry Howze,1
Jon Connolly,1
Hubert Selby Jr.,1
Harold Nebenzal,0
Myra Lewis,1
Jean-Charles Tacchella,1
Ryôzô Kasahara,0
Neil Cuthbert,0
John Godey,0
Robert Conte,1
Albert Z. Carr,1
John Eskow,0
P.F. Kluge,1
Michael Varhol,0
Christopher Hawthorne,0
Stephen Metcalfe,1
Michael Short,0
Leonard Glasser,1
Craig Lucas,1
Martha Moran,1
Anne Rivers Siddons,0
André P. Brink,0
Gaston Leroux,5
Steven Greene,1
Shimon Arama,1
Hal Hartley,0
Wesley Strick,5
Allyn Warner,0
Richard Curtis,5
Lloyd Kaufman,0
Robert Foster,0
Mark Spragg,0
Hisashi Nozawa,0
David Rich,0
Gerard Lee,1
Damian Harris,1
Bob Woodward,1
Michael Weller,1
Allan A. Goldstein,1
Ken Wheat,0
Tama Janowitz,1
John Crowther,0
Ildikó Enyedi,0
Paul Bartel,1
Thomas McKelvey Cleaver,1
Pierre Schoendoerffer,0
Alan J. Pakula,1
Barbara Benedek,0
Bobbie Ann Mason,0
John Ehle,1
Isaac Bashevis Singer,0
Steve Ransohoff,0
Dan Lewandowski,1
J.P. Félix,0
Noreen Stone,0
Terrel Seltzer,5
Alan Moskowitz,0
Carlos Fuentes,0
Alan Caillou,1
Georges Simenon,1
Greg Taylor,1
Elizabeth Jane Howard,1
Neil Levy,0
Howard Brookner,0
Alistair MacLean,0
Monte Merrick,1
Scott B. Sowers,0
Fredric Brown,1
John Sacret Young,1
Patrick Sheane Duncan,5
Christopher Doherty,1
Nancy Savoca,1
Alan Ayckbourn,1
Jeremy Pikser,0
Blake Schaffer,1
Nicholas Pileggi,5
Philip K. Dick,5
J.F. Lawton,5
Michael Blake,5
Steven E. de Souza,5
Murray Salem,5
Kevin Eastman,5
Tim Burton,5
Tom Clancy,5
Chester Gould,5
Oliver Sacks,0
Margaret Atwood,1
Barry Gifford,1
Roald Dahl,5
Charles Williams,0
Scott Turow,5
Jim Harrison,5
William Golding,1
Patty Dann,1
